date,date.0,date.1,date.2,date.3,date.4,date.5,OT,OT.1,OT.2
749,29.40642,28.84667,38.90188,2500.6143,-0.24044,45.64899,8.916744581726565,3.321721970363112,0.0
750,29.42983,28.87417,38.88662,2495.6954,-0.2264,45.66869,8.900785891104745,3.315776938208062,0.0
751,29.45319,28.90163,38.87228,2490.78226,-0.21305,45.68838,8.883673123366552,3.309401981961567,0.0
752,29.47649,28.92906,38.85882,2485.87569,-0.20044,45.70806,8.86548098146895,3.302624930440649,0.0
753,29.49974,28.95644,38.84617,2480.97646,-0.18859,45.72774,8.846286693387073,3.2954745530980363,0.0
754,29.52293,28.98379,38.8343,2476.08531,-0.17755,45.74741,8.826169658497578,3.2879804282906546,0.0
755,29.54607,29.0111,38.82314,2471.20294,-0.16735,45.76707,8.80521109522418,3.2801728120183262,0.0
756,29.56916,29.03837,38.81263,2466.33002,-0.15801,45.78673,8.783493692337876,3.2720825080239164,0.0
757,29.59219,29.0656,38.80271,2461.46717,-0.14958,45.80638,8.761101266077368,3.263740740061684,0.0
758,29.61517,29.0928,38.79333,2456.61497,-0.14207,45.82602,8.738118425163119,3.255179027106187,0.0
759,29.6381,29.11995,38.78442,2451.77398,-0.1355,45.84566,8.714630245502528,3.2464290621714147,0.0
760,29.66097,29.14707,38.77591,2446.94469,-0.1299,45.86529,8.690721956224092,3.237522595350248,0.0
761,29.68379,29.17415,38.76775,2442.12755,-0.12527,45.88492,8.666478638468671,3.228491321606273,0.0
762,29.70656,29.20119,38.75987,2437.32299,-0.12165,45.90454,8.641984938090255,3.219366773747269,0.0
763,29.72927,29.22819,38.75221,2432.53137,-0.11902,45.92416,8.617324793308738,3.2101802209686943,0.0
764,29.75194,29.25516,38.74469,2427.75302,-0.11741,45.94377,8.592581178061785,3.2009625732455045,0.0
765,29.77455,29.28208,38.73726,2422.98822,-0.11682,45.96337,8.567835861608671,3.1917442917782584,0.0
766,29.7971,29.30897,38.72985,2418.23721,-0.11724,45.98297,8.543169184788198,3.182555305643304,0.0
767,29.81961,29.33582,38.72239,2413.50017,-0.11869,46.00257,8.518659853104488,3.1734249347117944,0.0
768,29.84206,29.36264,38.71483,2408.77727,-0.12114,46.02215,8.494384746655259,3.164381818842965,0.0
769,29.86446,29.38941,38.70709,2404.0686,-0.12461,46.04174,8.47041874674298,3.155453853292233,0.0
770,29.88681,29.41615,38.69912,2399.37423,-0.12908,46.06132,8.446834578892293,3.146668130231049,0.0
771,29.90911,29.44285,38.69086,2394.69418,-0.13453,46.08089,8.423702671849286,3.1380508862204244,0.0
772,29.93135,29.46951,38.68223,2390.02841,-0.14096,46.10046,8.401091031993143,3.1296274554259607,0.0
773,29.95355,29.49614,38.6732,2385.37688,-0.14834,46.12003,8.379065132558688,3.1214222283503323,0.0
774,29.97569,29.52273,38.66369,2380.73947,-0.15666,46.13959,8.357687816924111,3.1134586158054263,0.0
775,29.99779,29.54928,38.65365,2376.11604,-0.1659,46.15914,8.3370192151747,3.1057590178301293,0.0
776,30.01983,29.5758,38.64303,2371.50641,-0.17602,46.1787,8.317116673097939,3.098344797239137,0.0
777,30.04182,29.60228,38.63178,2366.91035,-0.18702,46.19825,8.298034692724947,3.0912362574730774,0.0
778,30.06376,29.62872,38.61984,2362.32762,-0.19885,46.21779,8.279824883516332,3.0844526244139514,0.0
779,30.08566,29.65512,38.60716,2357.75792,-0.21149,46.23733,8.262535923238563,3.07801203181056,0.0
780,30.1075,29.68149,38.59371,2353.20091,-0.2249,46.25687,8.246213527658716,3.071931509988992,0.0
781,30.12929,29.70782,38.57944,2348.65625,-0.23906,46.2764,8.230900428076422,3.0662269774826885,0.0
782,30.15103,29.73412,38.5643,2344.12355,-0.25392,46.29593,8.21663635585889,3.06091323527133,0.0
783,30.17272,29.76038,38.54826,2339.60237,-0.26946,46.31546,8.203458033053376,3.056003963283735,0.0
784,30.19436,29.7866,38.53128,2335.09227,-0.28562,46.33498,8.191399168305937,3.051511718877487,0.0
785,30.21596,29.81279,38.51333,2330.59278,-0.30237,46.3545,8.180490457233628,3.047447936977589,0.0
786,30.2375,29.83894,38.49437,2326.10337,-0.31968,46.37401,8.170759586559143,3.043822931616727,0.0
787,30.259,29.86505,38.47439,2321.62354,-0.33749,46.39352,8.162231241304573,3.0406458986151303,0.0
788,30.28044,29.89113,38.45334,2317.15271,-0.35577,46.41303,8.154927114414692,3.037924919165505,0.0
789,30.30184,29.91717,38.43121,2312.69031,-0.37446,46.43254,8.148865918248303,3.035666964113856,0.0
790,30.32319,29.94318,38.40799,2308.23574,-0.39353,46.45204,8.14406339744508,3.033877898752728,0.0
791,30.34449,29.96915,38.38365,2303.7884,-0.41293,46.47154,8.140532342737153,3.032562487966384,0.0
792,30.36574,29.99508,38.35818,2299.34763,-0.4326,46.49103,8.13828260532979,3.031724401587988,0.0
793,30.38694,30.02098,38.33156,2294.91279,-0.45251,46.51053,8.137321111590735,3.031366219871767,0.0
794,30.40809,30.04684,38.3038,2290.4832,-0.47261,46.53001,8.137651877799055,3.0314894389873484,0.0
795,30.4292,30.07267,38.27488,2286.0582,-0.49284,46.5495,8.13927602481655,3.032094476485245,0.0
796,30.45025,30.09846,38.24481,2281.63708,-0.51317,46.56898,8.142191792633788,3.0331806767156357,0.0
797,30.47126,30.12421,38.21358,2277.21914,-0.53353,46.58846,8.146394554728927,3.0347463161774004,0.0
798,30.49222,30.14993,38.1812,2272.80367,-0.55388,46.60793,8.151876832363875,3.0367886088438247,0.0
799,30.51314,30.17562,38.14767,2268.38995,-0.57418,46.6274,8.158628308912236,3.0393037115001285,0.0
800,30.534,30.20126,38.113,2263.97724,-0.59438,46.64687,8.166635844423476,3.042286729169005,0.0
801,30.55482,30.22687,38.07722,2259.56483,-0.61442,46.66633,8.175883490694243,3.045731720725084,0.0
802,30.57558,30.25244,38.04032,2255.15198,-0.63426,46.68579,8.186352507163752,3.049631704816377,0.0
803,30.5963,30.27798,38.00233,2250.73795,-0.65385,46.70525,8.198021378013895,3.053978666234525,0.0
804,30.61698,30.30348,37.96327,2246.32202,-0.67315,46.7247,8.21086583089051,3.058763562888959,0.0
805,30.6376,30.32895,37.92317,2241.90344,-0.69211,46.74415,8.224858857757772,3.06397633357571,0.0
806,30.65818,30.35437,37.88204,2237.48151,-0.71068,46.76359,8.239970738390875,3.06960590672905,0.0
807,30.6787,30.37977,37.83992,2233.05549,-0.72883,46.78302,8.256169067068273,3.075640210365058,0.0
808,30.69918,30.40512,37.79684,2228.62468,-0.7465,46.80246,8.273418783088221,3.0820661834498337,0.0
809,30.71962,30.43044,37.75282,2224.18837,-0.76366,46.82188,8.291682205700063,3.088869788912315,0.0
810,30.74,30.45572,37.70792,2219.74588,-0.78027,46.84131,8.310919074131089,3.096036028555342,0.0
811,30.76034,30.48096,37.66215,2215.29652,-0.79628,46.86072,8.331086593348758,3.1035489601032906,0.0
812,30.78062,30.50617,37.61557,2210.83964,-0.81167,46.88013,8.35213948622277,3.11139171663381,0.0
813,30.80086,30.53134,37.56821,2206.37458,-0.82639,46.89954,8.374030052760382,3.1195465286445407,0.0
814,30.82106,30.55647,37.52012,2201.90072,-0.84041,46.91894,8.396708237055792,3.1279947489935207,0.0
815,30.8412,30.58156,37.47134,2197.41746,-0.8537,46.93833,8.420121702572075,3.136716880943691,0.0
816,30.86129,30.60661,37.42192,2192.9242,-0.86622,46.95772,8.444215916370716,3.145692609540604,0.0
817,30.88134,30.63163,37.3719,2188.42039,-0.87795,46.9771,8.468934242829665,3.1549008365248743,0.0
818,30.90134,30.65661,37.32134,2183.90548,-0.88887,46.99647,8.494218047343784,3.164319718963318,0.0
819,30.92129,30.68155,37.27028,2179.37898,-0.89894,47.01584,8.520006810469935,3.1739267117710046,0.0
820,30.94119,30.70645,37.21878,2174.84039,-0.90815,47.0352,8.546238252866402,3.183698614254477,0.0
821,30.96104,30.73132,37.16688,2170.28926,-0.91648,47.05455,8.572848471310573,3.193611620781916,0.0
822,30.98085,30.75614,37.11465,2165.72518,-0.9239,47.07389,8.599772085990654,3.2036413756531825,0.0
823,31.0006,30.78092,37.06214,2161.14776,-0.93041,47.09322,8.626942399171767,3.213763032207112,0.0
824,31.02031,30.80567,37.00939,2156.55664,-0.936,47.11255,8.654291565187233,3.22395131614774,0.0
825,31.03996,30.83037,36.95647,2151.95151,-0.94064,47.13186,8.68175077164392,3.23418059304806,0.0
826,31.05957,30.85504,36.90343,2147.33209,-0.94435,47.15117,8.709250431567018,3.2444249399290137,0.0
827,31.07913,30.87967,36.85032,2142.69813,-0.9471,47.17047,8.736720386070058,3.254658220759399,0.0
828,31.09864,30.90425,36.79719,2138.04942,-0.94891,47.18976,8.764090117061526,3.2648541656946843,0.0
829,31.1181,30.9288,36.74411,2133.38582,-0.94977,47.20903,8.791288969274952,3.2749864537890576,0.0
830,31.13751,30.9533,36.69112,2128.70718,-0.94969,47.2283,8.818246380847244,3.285028798891923,0.0
831,31.15687,30.97776,36.63828,2124.01342,-0.94867,47.24756,8.844892121490968,3.294955038373341,0.0
832,31.17618,31.00218,36.58564,2119.30451,-0.94673,47.2668,8.871156537196025,3.304739224281843,0.0
833,31.19545,31.02656,36.53325,2114.58044,-0.94388,47.28604,8.896970800233591,3.314355716477474,0.0
834,31.21466,31.0509,36.48116,2109.84125,-0.94013,47.30526,8.922267163168653,3.323779277258152,0.0
835,31.23382,31.0752,36.42941,2105.08702,-0.9355,47.32447,8.946979215417441,3.3329851669340527,0.0
836,31.25293,31.09945,36.37806,2100.31788,-0.93002,47.34367,8.971042140828631,3.341949239783393,0.0
837,31.27199,31.12366,36.32716,2095.534,-0.92371,47.36286,8.99439297467143,3.3506480397872505,0.0
838,31.291,31.14783,36.27673,2090.73557,-0.91659,47.38203,9.016970858319526,3.359058895506039,0.0
839,31.30997,31.17195,36.22683,2085.92286,-0.90869,47.40119,9.038717289907677,3.3671600134556754,0.0
840,31.32888,31.19604,36.1775,2081.09614,-0.90006,47.42034,9.059576369164676,3.3749305693143152,0.0
841,31.34774,31.22007,36.12877,2076.25574,-0.89071,47.43948,9.079495034640663,3.38235079629575,0.0
842,31.36655,31.24407,36.08069,2071.40203,-0.88069,47.4586,9.098423291539744,3.389402070023071,0.0
843,31.3853,31.26802,36.03327,2066.53541,-0.87004,47.4777,9.116314428398384,3.396066989247055,0.0
844,31.40401,31.29193,35.98656,2061.6563,-0.85879,47.4968,9.133125220903882,3.4023294517739253,0.0
845,31.42267,31.31579,35.94058,2056.76519,-0.847,47.51587,9.14881612121512,3.408174724992296,0.0
846,31.44128,31.33961,35.89536,2051.86258,-0.8347,47.53494,9.163351431264694,3.413589510432787,0.0
847,31.45983,31.36338,35.85091,2046.94898,-0.82194,47.55399,9.176699458569711,3.4185620018116425,0.0
848,31.47834,31.38711,35.80727,2042.02498,-0.80878,47.57302,9.18883265332739,3.423081936102444,0.0
849,31.49679,31.41079,35.76445,2037.09115,-0.79525,47.59204,9.199727725575034,3.427140637181295,0.0
850,31.51519,31.43443,35.72246,2032.1481,-0.78142,47.61104,9.209365741502134,3.4307310517056013,0.0
851,31.53354,31.45803,35.68131,2027.19648,-0.76732,47.63003,9.2177321980806,3.4338477769158016,0.0
852,31.55184,31.48157,35.64101,2022.23693,-0.75303,47.649,9.22481707543082,3.4364870801431,0.0
853,31.57009,31.50507,35.60158,2017.27014,-0.73858,47.66795,9.230614866488828,3.4386469098612724,0.0
854,31.58828,31.52853,35.563,2012.29677,-0.72404,47.68689,9.235124583794432,3.4403268982154134,0.0
855,31.60643,31.55194,35.52529,2007.31755,-0.70945,47.70581,9.238349743399048,3.4415283550271885,0.0
856,31.62452,31.5753,35.48844,2002.33317,-0.69487,47.72472,9.240298326078232,3.4422542533454807,0.0
857,31.64257,31.59862,35.45244,1997.34437,-0.68036,47.74361,9.240982716284556,3.4425092067047265,0.0
858,31.66056,31.62189,35.41728,1992.35185,-0.66597,47.76248,9.240419619428025,3.4422994383096985,0.0
859,31.6785,31.64511,35.38296,1987.35636,-0.65176,47.78134,9.23862995826534,3.4416327424377795,0.0
860,31.69639,31.66829,35.34946,1982.35863,-0.63777,47.80018,9.235638749374631,3.4405184384225493,0.0
861,31.71422,31.69142,35.31676,1977.35937,-0.62406,47.819,9.231474960808232,3.438967317625694,0.0
862,31.73201,31.7145,35.28484,1972.35931,-0.61067,47.8378,9.22617135221838,3.436991583879634,0.0
863,31.74974,31.73754,35.25369,1967.35918,-0.59767,47.85659,9.219764298802795,3.434604787902607,0.0
864,31.76743,31.76053,35.22327,1962.35967,-0.5851,47.87536,9.212293600600818,3.431821756256471,0.0
865,31.78506,31.78347,35.19356,1957.36149,-0.573,47.89412,9.203802278677164,3.428658515419783,0.0
